反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
0,100,-48,-48,0,,,
0,100,-48,-48,0,,,
0,100,-48,-48,0,,,
0,100,-48,-48,0,,,
0,100,-49,-49,0,,,
0,100,-51,-51,0,,,
0,100,-52,-52,0,,,
0,100,-52,-52,0,,,
0,100,-53,-53,0,,,
0,100,-53,-53,0,,,
0,100,-55,-55,0,,,
0,100,-56,-56,0,,,
0,100,-56,-56,0,,,
0,100,-59,-59,0,,,
0,100,-59,-59,0,,,
0,100,-60,-60,0,,,
0,100,-58,-58,0,,,
0,100,-60,-60,0,,,
0,100,-61,-61,0,,,
0,100,-61,-61,0,,,
0,100,-60,-60,0,,,
0,100,-64,-64,-0.353429,,,
0,100,-63,-63,-0.353429,,,
0,100,-65,-65,-0.353429,,,
0,100,-66,-66,-0.706858,,,
0,100,-69,-69,-1.060287,,,
0,100,-69,-69,-1.060287,,,
0,100,-71,-71,-1.413717,,,
0,100,-68,-68,-1.413717,,,
0,100,-66,-66,-1.413717,,,
0,100,-67,-67,-1.767146,,,
0,100,-76,-76,-2.474004,,,
0,100,-76,-76,-2.827433,,,
0,100,-73,-73,-2.827433,,,
0,100,-75,-75,-3.180862,,,
0,100,-82,-82,-3.887721,,,
0,100,-82,-82,-4.24115,,,
0,100,-88,-88,-4.948008,,,
0,100,-91,-91,-5.654866,,,
0,100,-91,-91,-6.008296,,,
0,100,-94,-94,-6.715154,,,
0,100,-92,-92,-7.068583,,,
0,100,-104,-104,-8.12887,,,
0,100,-99,-99,-8.482299,,,
0,100,-108,-108,-9.542586,,,
0,100,-111,-111,-10.249445,,,
0,100,-119,-119,-11.309732,,,
0,100,-120,-120,-12.016591,,,
0,100,-120,-120,-12.72345,,,
0,100,-130,-130,-14.137166,,,
0,100,-141,-141,-15.550882,,,
0,100,-140,-140,-16.25774,,,
0,100,-146,-146,-17.671457,,,
0,100,-137,-137,-18.378315,,,
0,100,-146,-146,-19.792032,,,
0,100,-148,-148,-21.20575,,,
0,100,-148,-148,-22.619467,,,
0,100,-148,-148,-24.033184,,,
0,100,-148,-148,-25.446901,,,
0,100,-148,-148,-26.860619,,,
0,100,-148,-148,-28.274336,,,
0,100,-148,-148,-30.041481,,,
0,100,-148,-148,-31.455198,,,
0,100,-148,-148,-33.222343,,,
0,100,-148,-148,-34.989491,,,
0,100,-148,-148,-36.756638,,,
0,100,-148,-148,-38.170353,,,
0,100,-148,-148,-39.584068,,,
0,100,-148,-148,-41.351215,,,
0,100,-148,-148,-43.47179,,,
0,100,-148,-148,-44.885506,,,
0,100,-148,-148,-46.652653,,,
0,100,-148,-148,-48.4198,,,
0,100,-148,-148,-50.186947,,,
0,100,-148,-148,-51.954094,,,
0,100,-148,-148,-54.074669,,,
0,100,-148,-148,-55.488384,,,
0,100,-148,-148,-57.608959,,,
0,100,-148,-148,-59.729534,,,
0,100,-148,-148,-61.496681,,,
0,100,-148,-148,-62.910397,,,
0,100,-148,-148,-65.030975,,,
0,100,-148,-148,-67.15155,,,
0,100,-148,-148,-68.565269,,,
0,100,-148,-148,-70.685844,,,
0,100,-148,-148,-72.806419,,,
0,100,-148,-148,-74.220139,,,
0,100,-148,-148,-76.694145,,,
0,100,-148,-148,-78.461288,,,
0,100,-148,-148,-80.228432,,,
0,100,-148,-148,-82.702438,,,
0,100,-148,-148,-84.116158,,,
0,100,-148,-148,-86.236732,,,
0,100,-148,-148,-88.357307,,,
0,100,-148,-148,-90.124451,,,
0,100,-148,-148,-92.245026,,,
0,100,-148,-148,-94.365601,,,
0,100,-148,-148,-96.132744,,,
0,100,-148,-148,-97.899887,,,
0,100,-148,-148,-100.020462,,,
0,100,-148,-148,-102.141037,,,
0,100,-148,-148,-104.261612,,,
0,100,-148,-148,-106.028755,,,
0,100,-148,-148,-107.795898,,,
0,100,-148,-148,-109.916473,,,
0,100,-148,-148,-112.037048,,,
0,100,-148,-148,-114.157623,,,
0,100,-148,-148,-115.924767,,,
0,100,-148,-148,-118.045341,,,
0,100,-148,-148,-120.165916,,,
0,100,-148,-148,-121.93306,,,
0,100,-148,-148,-124.407066,,,
0,100,-148,-148,-126.17421,,,
0,100,-148,-148,-128.294785,,,
0,100,-148,-148,-130.061935,,,
0,100,-148,-148,-132.535934,,,
0,100,-148,-148,-134.303085,,,
0,100,-148,-148,-136.42366,,,
0,100,-148,-148,-138.544235,,,
0,100,-148,-148,-140.311386,,,
0,100,-148,-148,-142.785385,,,
0,100,-148,-148,-144.552536,,,
0,100,-148,-148,-147.026535,,,
0,100,-148,-148,-148.440247,,,
0,100,-148,-148,-150.914246,,,
0,100,-148,-148,-152.681396,,,
0,100,-148,-148,-155.155396,,,
0,100,-148,-148,-156.922546,,,
0,100,-148,-148,-159.043121,,,
0,100,-148,-148,-161.163696,,,
0,100,-148,-148,-163.284271,,,
0,100,-148,-148,-165.404846,,,
0,100,-148,-148,-167.525421,,,
0,100,-148,-148,-169.645996,,,
0,100,-148,-148,-171.413147,,,
0,100,-148,-148,-173.533722,,,
0,100,-148,-148,-175.654297,,,
0,100,-148,-148,-177.774872,,,
0,100,-148,-148,-179.542023,,,
0,100,-148,-148,-182.016022,,,
0,100,-148,-148,-183.783173,,,
0,100,-148,-148,-186.257172,,,
0,100,-148,-148,-188.024323,,,
0,100,-148,-148,-190.144897,,,
0,100,-148,-148,-192.265472,,,
0,100,-148,-148,-194.386047,,,
0,100,-148,-148,-196.506622,,,
0,100,-148,-148,-198.627197,,,
0,100,-148,-148,-200.747772,,,
0,100,-148,-148,-202.868347,,,
0,100,-148,-148,-204.988922,,,
0,100,-148,-148,-206.756073,,,
