反射光センサー, ジャイロ角度, ジャイロセンサ角速度,ターン,P,モータ角位置
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3,0,0,0
1,0,3,0,0,0
1,0,14,0,0,0
1,0,21,0,0,0
1,0,9,0,0,0
1,0,13,0,0,0
1,0,19,0,0,0
1,0,22,0,0,1
1,0,17,0,0,1
1,0,15,0,0,2
1,0,26,0,0,2
1,0,12,0,0,2
1,0,19,0,0,3
1,0,30,0,0,4
1,0,16,0,0,4
1,0,20,0,0,5
1,0,19,0,0,6
1,0,18,0,0,7
1,0,31,0,0,8
1,0,17,0,0,9
1,0,35,0,0,10
1,0,20,0,0,11
1,0,21,0,0,13
1,0,32,0,0,14
1,0,7,0,0,16
1,0,24,0,0,18
1,0,32,0,0,19
1,0,13,0,0,21
1,0,9,0,0,23
1,0,26,0,0,25
1,0,15,0,0,27
1,0,9,0,0,30
1,0,16,0,0,32
1,0,4,0,0,34
1,0,7,0,0,36
1,0,10,0,0,39
1,0,0,0,0,41
1,0,2,0,0,44
1,0,8,0,0,46
1,0,17,0,0,49
1,0,4,0,0,52
1,0,16,0,0,54
1,0,23,0,0,57
1,0,11,0,0,60
1,0,15,0,0,62
1,0,22,0,0,65
1,0,22,0,0,68
1,0,14,0,0,71
1,0,14,0,0,74
1,0,20,0,0,77
1,0,13,0,0,80
1,0,11,0,0,82
1,0,21,0,0,86
1,0,19,0,0,88
1,0,7,0,0,92
1,0,20,0,0,94
1,0,14,0,0,98
1,0,14,0,0,101
1,0,19,0,0,104
1,0,15,0,0,107
1,0,19,0,0,110
1,0,11,0,0,113
1,0,16,0,0,116
1,0,18,0,0,119
1,0,23,0,0,122
1,0,16,0,0,126
1,0,19,0,0,128
1,0,22,0,0,132
1,0,15,0,0,135
1,0,20,0,0,138
1,0,19,0,0,141
1,0,20,0,0,144
1,0,25,0,0,148
1,0,18,0,0,151
1,0,24,0,0,154
1,0,17,0,0,157
1,0,19,0,0,160
1,0,27,0,0,164
1,0,27,0,0,167
1,0,23,0,0,170
1,0,22,0,0,174
1,0,32,0,0,177
1,0,19,0,0,180
1,0,32,0,0,183
1,0,35,0,0,186
1,0,27,0,0,190
1,0,31,0,0,193
1,0,23,0,0,196
1,0,41,0,0,200
1,0,24,0,0,203
1,0,39,0,0,206
1,0,41,0,0,209
1,0,24,0,0,213
1,0,36,0,0,216
1,0,29,0,0,219
1,0,43,0,0,222
1,0,23,0,0,226
1,0,27,0,0,229
1,0,37,0,0,232
1,0,25,0,0,236
1,0,30,0,0,239
1,0,22,0,0,242
1,0,33,0,0,246
1,0,17,0,0,249
1,0,28,0,0,252
1,0,11,0,0,256
1,0,23,0,0,259
1,0,24,0,0,262
1,0,16,0,0,266
1,0,12,0,0,269
1,0,15,0,0,272
1,0,12,0,0,276
1,0,7,0,0,279
0,0,24,-15,0,282
0,0,12,0,0,286
0,0,14,0,0,289
1,0,11,15,0,292
1,0,18,0,0,296
0,0,13,-15,0,299
0,0,7,0,0,302
1,0,20,15,0,305
1,0,4,0,0,309
1,0,30,0,0,312
0,0,5,-15,0,316
0,0,31,0,0,319
0,0,20,0,0,322
0,0,18,0,0,326
0,0,26,0,0,329
0,0,15,0,0,332
1,0,30,15,0,336
0,0,23,-15,0,339
0,0,36,0,0,342
0,0,19,0,0,346
0,0,31,0,0,349
0,0,27,0,0,352
0,0,29,0,0,356
0,0,27,0,0,359
0,0,27,0,0,362
0,0,33,0,0,366
0,0,18,0,0,369
0,0,34,0,0,372
0,0,25,0,0,376
0,0,29,0,0,379
0,0,32,0,0,382
0,0,26,0,0,386
0,0,31,0,0,389
0,0,20,0,0,392
0,0,32,0,0,396
0,0,24,0,0,399
0,0,28,0,0,402
0,0,20,0,0,406
0,0,28,0,0,409
0,0,23,0,0,412
0,0,19,0,0,416
0,0,34,0,0,419
1,0,16,15,0,422
0,0,30,-15,0,426
0,0,16,0,0,429
0,0,30,0,0,432
0,0,18,0,0,436
0,0,27,0,0,439
0,0,34,0,0,442
0,0,23,0,0,446
0,0,25,0,0,449
0,0,24,0,0,452
0,0,33,0,0,456
0,0,24,0,0,459
0,0,34,0,0,462
0,0,24,0,0,466
0,0,34,0,0,469
0,0,22,0,0,473
0,0,32,0,0,476
0,0,28,0,0,480
0,0,31,0,0,483
0,0,40,0,0,486
0,0,15,0,0,489
0,0,24,0,0,493
0,0,19,0,0,496
0,0,36,0,0,500
0,0,18,0,0,503
0,0,23,0,0,506
0,0,26,0,0,510
0,0,10,0,0,513
0,0,22,0,0,516
0,0,15,0,0,520
0,0,20,0,0,523
0,0,16,0,0,526
0,0,5,0,0,530
0,0,2,0,0,533
0,0,8,0,0,536
0,0,-2,0,0,540
0,0,7,0,0,543
0,0,10,0,0,546
0,0,-5,0,0,550
1,0,2,15,0,553
0,0,1,-15,0,556
0,0,5,0,0,560
0,0,-1,0,0,563
0,0,2,0,0,566
0,0,5,0,0,570
0,0,1,0,0,573
0,0,-3,0,0,576
0,0,-2,0,0,580
0,0,16,0,0,583
0,0,-9,0,0,586
0,0,3,0,0,590
0,0,0,0,0,593
0,0,-1,0,0,596
0,0,-1,0,0,600
0,0,-4,0,0,603
0,0,11,0,0,606
0,0,-3,0,0,610
0,0,1,0,0,613
0,0,-2,0,0,616
0,0,5,0,0,620
0,0,-1,0,0,623
1,0,2,15,0,626
1,0,10,0,0,630
1,0,-3,0,0,633
0,0,10,-15,0,636
0,0,3,0,0,640
0,0,11,0,0,643
0,0,0,0,0,646
1,0,14,15,0,650
1,0,5,0,0,653
1,0,10,0,0,656
1,0,8,0,0,660
0,0,4,-15,0,663
0,0,14,0,0,667
0,0,7,0,0,670
0,0,16,0,0,674
0,0,5,0,0,677
0,0,16,0,0,680
0,0,13,0,0,684
1,0,14,15,0,687
1,0,16,0,0,690
1,0,16,0,0,694
1,0,14,0,0,697
1,0,15,0,0,700
0,0,16,-15,0,704
0,0,19,0,0,707
0,0,21,0,0,710
1,0,23,15,0,714
1,0,26,0,0,717
1,0,12,0,0,720
1,0,28,0,0,724
1,0,11,0,0,727
0,0,26,-15,0,730
0,0,23,0,0,734
0,0,22,0,0,737
1,0,20,15,0,740
1,0,17,0,0,744
1,0,22,0,0,748
0,0,14,-15,0,751
0,0,23,0,0,754
0,0,13,0,0,757
0,0,14,0,0,761
0,0,12,0,0,764
0,0,9,0,0,768
1,0,13,15,0,771
1,0,1,0,0,774
1,0,18,0,0,778
1,0,7,0,0,781
1,0,6,0,0,784
1,0,2,0,0,788
1,0,0,0,0,791
1,0,7,0,0,794
1,0,-4,0,0,798
1,0,3,0,0,801
