反射光センサー, ジャイロセンサ角速度,P,D,走行距離　,,,
22,0,0,0,0,灰色の値,,
22,0,0,0,0,灰色の値,,
0,20,-24,-300,0,,,
0,20,-24,0,0,,,
0,22,-24,0,0,,,
0,24,-24,0,0,,,
0,22,-24,0,0,,,
0,25,-24,0,0,,,
0,27,-24,0,0,,,
0,25,-24,0,0,,,
0,25,-24,0,0,,,
0,25,-24,0,0,,,
0,26,-24,0,0,,,
0,27,-24,0,0,,,
0,28,-24,0,0.706858,,,
0,31,-24,0,0.706858,,,
0,26,-24,0,0.706858,,,
0,26,-24,0,0.706858,,,
0,24,-24,0,1.413717,,,
0,23,-24,0,1.767146,,,
0,21,-24,0,1.767146,,,
0,19,-24,0,2.120575,,,
0,18,-24,0,2.827433,,,
0,19,-24,0,3.180862,,,
0,19,-24,0,3.887721,,,
0,11,-24,0,4.594579,,,
0,12,-24,0,4.948009,,,
0,14,-24,0,6.008296,,,
0,9,-24,0,6.715154,,,
0,10,-24,0,7.422012,,,
0,9,-24,0,8.128871,,,
0,12,-24,0,9.189158,,,
0,5,-24,0,10.249446,,,
0,8,-24,0,11.309733,,,
0,12,-24,0,12.016592,,,
0,10,-24,0,13.430308,,,
0,5,-24,0,14.490596,,,
0,10,-24,0,15.550883,,,
0,15,-24,0,16.611172,,,
0,13,-24,0,18.024889,,,
0,17,-24,0,19.085176,,,
0,9,-24,0,20.498894,,,
0,9,-24,0,21.559181,,,
0,14,-24,0,22.972898,,,
0,23,-24,0,24.033186,,,
0,11,-24,0,25.446903,,,
0,14,-24,0,26.86062,,,
0,14,-24,0,28.274338,,,
0,15,-24,0,29.688055,,,
0,12,-24,0,31.101772,,,
0,6,-24,0,32.16206,,,
0,9,-24,0,33.575775,,,
0,14,-24,0,34.989491,,,
0,18,-24,0,36.756638,,,
0,9,-24,0,38.170353,,,
0,8,-24,0,39.9375,,,
0,21,-24,0,41.351215,,,
0,25,-24,0,42.764931,,,
0,17,-24,0,44.532078,,,
0,21,-24,0,45.945793,,,
0,24,-24,0,47.71294,,,
0,24,-24,0,49.126656,,,
0,26,-24,0,50.540371,,,
0,21,-24,0,52.660946,,,
0,29,-24,0,54.074661,,,
0,25,-24,0,55.841808,,,
0,18,-24,0,57.608955,,,
0,11,-24,0,59.376102,,,
0,24,-24,0,60.789818,,,
0,23,-24,0,62.556965,,,
0,8,-24,0,64.324112,,,
0,17,-24,0,66.091255,,,
0,13,-24,0,68.21183,,,
0,10,-24,0,69.625549,,,
0,16,-24,0,71.392693,,,
0,19,-24,0,73.159836,,,
0,13,-24,0,75.280411,,,
0,14,-24,0,76.69413,,,
0,20,-24,0,78.814705,,,
0,14,-24,0,80.581848,,,
0,14,-24,0,82.348991,,,
0,20,-24,0,84.116135,,,
0,21,-24,0,86.23671,,,
0,20,-24,0,88.003853,,,
0,23,-24,0,89.770996,,,
0,27,-24,0,91.891571,,,
0,23,-24,0,93.30529,,,
0,30,-24,0,95.425865,,,
0,28,-24,0,97.193008,,,
0,27,-24,0,98.960152,,,
0,26,-24,0,101.080727,,,
0,27,-24,0,102.84787,,,
0,26,-24,0,104.615013,,,
0,26,-24,0,106.735588,,,
