ジャイロセンサ角速度, 走行距離, フロア検知ステータス　
66,0.000000,0
66,-0.353429,0
67,-0.353429,0
64,-0.353429,0
65,-0.353429,0
62,-0.353429,0
58,-0.353429,0
53,-0.353429,0
39,0.000000,0
37,0.000000,0
27,0.353429,0
9,1.060287,0
6,1.413717,0
-5,1.767146,0
0,2.474004,0
-2,3.180863,0
-2,3.887721,0
4,4.594579,0
6,5.654867,0
3,6.361725,0
-5,7.422012,0
-15,8.128871,0
-11,9.542587,0
-21,10.249446,0
-28,11.663162,0
-41,12.723450,0
-52,13.783737,0
-58,15.197453,0
-71,16.611170,0
-71,17.671457,0
-84,19.085175,0
-81,19.792032,0
-70,21.205750,0
-72,22.619467,0
-68,24.033184,0
-61,25.093472,0
-49,26.507189,0
-34,27.214046,0
-35,28.627764,0
-35,29.688051,0
-25,30.748339,0
-23,31.808626,0
-24,33.222343,0
-26,34.282631,0
-33,35.342918,0
-40,36.403206,0
-44,37.816921,0
-53,38.523781,0
-57,39.584068,0
-57,40.997784,0
-69,42.058071,0
-60,43.118359,0
-54,43.825218,0
-55,44.885506,0
-51,45.945793,0
-33,47.006081,0
-25,47.359509,0
-28,48.419796,0
-23,48.773224,0
-14,49.480083,0
-18,50.186943,0
0,50.540371,0
-2,51.247231,0
0,51.600658,0
22,51.954086,0
18,52.307514,0
17,52.660942,0
27,52.660942,0
31,53.367802,0
37,53.367802,0
46,53.721230,0
44,53.721230,0
48,53.721230,0
48,54.428089,0
46,54.428089,0
38,54.781517,0
38,55.134945,0
33,55.134945,0
12,55.488373,0
7,55.841801,0
7,56.195229,0
-2,56.548656,0
-6,56.548656,0
-8,56.902084,0
-6,57.608944,0
-2,57.608944,0
2,57.608944,0
9,57.962372,0
17,57.962372,0
23,58.315800,0
30,58.315800,0
40,58.315800,0
41,58.315800,0
48,58.315800,0
45,59.022659,0
35,59.022659,0
26,59.022659,0
25,59.376087,0
19,59.376087,0
9,59.729515,0
8,60.082943,0
-2,60.436371,0
-6,60.789799,0
-8,60.789799,0
-12,61.496658,0
-9,61.496658,0
-11,62.203518,0
-10,62.203518,0
-6,62.556946,0
-1,62.910374,0
4,63.263802,0
12,63.263802,0
17,63.617229,0
22,63.617229,0
25,63.617229,0
30,63.970657,0
34,63.970657,0
34,63.970657,0
28,63.970657,0
23,64.324089,0
23,64.677521,0
16,64.677521,0
9,65.030952,0
7,65.384384,0
1,65.737816,0
-4,65.737816,0
-4,66.091248,0
-5,66.798103,0
-5,66.798103,0
-6,67.151535,0
-4,67.504967,0
-3,67.504967,0
-2,68.211823,0
-4,68.565254,0
0,68.918686,0
3,68.918686,0
1,69.625542,0
0,69.978973,0
3,70.332405,0
1,70.332405,0
-3,71.039261,0
-4,71.392693,0
-4,71.746124,0
-7,72.452980,0
-9,72.452980,0
-9,73.159836,0
-12,73.159836,0
-9,73.866692,0
-12,74.220123,0
-9,74.573555,0
-5,74.926987,0
-4,75.280418,0
-6,75.987274,0
-3,76.340706,0
2,76.694138,0
1,76.694138,0
0,77.400993,0
-1,77.754425,0
2,78.107857,0
2,78.814713,0
-5,78.814713,0
-6,79.168144,0
-4,79.521576,0
-4,80.228432,0
-6,80.581863,0
-8,80.935295,0
-4,81.288727,0
-1,81.642159,0
1,81.995590,0
0,82.349022,0
4,83.055878,0
7,83.055878,0
7,83.409309,0
5,83.762741,0
4,84.469597,0
4,84.823029,0
3,85.176460,0
1,85.176460,0
-1,85.883316,0
-3,86.236748,0
1,86.590179,0
-1,87.297035,0
0,87.650467,0
3,88.003899,0
4,88.003899,0
0,88.710754,0
3,89.064186,0
4,89.417618,0
3,90.124474,0
3,90.477905,0
4,90.831337,0
-1,91.538193,0
2,91.538193,0
2,92.245049,0
1,92.245049,0
1,92.951904,0
0,93.305336,0
2,93.658768,0
3,94.365623,0
2,94.719055,0
3,95.072487,0
4,95.779343,0
4,96.132774,0
3,96.486206,0
3,97.193062,0
6,97.546494,0
6,98.253349,0
6,98.960205,0
5,99.313637,0
6,100.020493,0
1,100.373924,0
0,100.727356,0
-1,101.434212,0
-8,101.787643,0
-9,102.494499,0
-8,103.201355,0
-8,103.554787,0
-8,104.261642,0
-4,104.615074,0
-1,105.321930,0
0,106.028786,0
1,106.382217,0
-1,107.442505,0
1,107.442505,0
4,108.149361,0
-4,108.856216,0
-3,109.563072,0
-3,110.269928,0
-5,110.976784,0
-6,111.683640,0
